INFO | counter:      1 | tick:      2 | IP:   2 | instruction: 0x02800000 | opcode:  MOV | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:      2 | tick:      5 | IP:  12 | instruction: 0x15030000 | opcode: CALL | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:      3 | tick:      9 | IP:  13 | instruction: 0x10800800 | opcode:   LD | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:      4 | tick:     11 | IP:  21 | instruction: 0x06050000 | opcode:  BEQ | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:      5 | tick:     13 | IP:  22 | instruction: 0x02800F80 | opcode:  MOV | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:      6 | tick:     16 | IP:  23 | instruction: 0x04800000 | opcode:  INC | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:      7 | tick:     20 | IP:  24 | instruction: 0x1000081F | opcode:   LD | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:      8 | tick:     23 | IP:  25 | instruction: 0x03E00001 | opcode:  ADD | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:      9 | tick:     26 | IP:  26 | instruction: 0x0A808080 | opcode:   IN | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     10 | tick:     29 | IP:  27 | instruction: 0x04804000 | opcode:  INC | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     11 | tick:     33 | IP:  28 | instruction: 0x20801000 | opcode:   ST | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     12 | tick:     37 | IP:  29 | instruction: 0x2000081F | opcode:   ST | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     13 | tick:     44 | IP:  14 | instruction: 0x11000000 | opcode: IRET | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:     14 | tick:     47 | IP:  15 | instruction: 0x04800000 | opcode:  INC | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:     15 | tick:     51 | IP:  21 | instruction: 0x10801000 | opcode:   LD | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     16 | tick:     53 | IP:  22 | instruction: 0x02800F80 | opcode:  MOV | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     17 | tick:     56 | IP:  23 | instruction: 0x04800000 | opcode:  INC | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     18 | tick:     60 | IP:  24 | instruction: 0x1000081F | opcode:   LD | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     19 | tick:     63 | IP:  25 | instruction: 0x03E00001 | opcode:  ADD | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     20 | tick:     66 | IP:  26 | instruction: 0x0A808080 | opcode:   IN | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     21 | tick:     69 | IP:  27 | instruction: 0x04804000 | opcode:  INC | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     22 | tick:     73 | IP:  28 | instruction: 0x20801000 | opcode:   ST | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     23 | tick:     77 | IP:  29 | instruction: 0x2000081F | opcode:   ST | PS: {'Z': False, 'N': False, 'W': False, 'I': True, 'IA': False, 'E': False}
INFO | counter:     24 | tick:     84 | IP:  16 | instruction: 0x11000000 | opcode: IRET | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:     25 | tick:     87 | IP:  17 | instruction: 0x09808000 | opcode:  OUT | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:     26 | tick:     90 | IP:  18 | instruction: 0x04800000 | opcode:  INC | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:     27 | tick:     93 | IP:  19 | instruction: 0x05804000 | opcode:  DEC | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:     28 | tick:     96 | IP:  15 | instruction: 0x0703C000 | opcode:  BNE | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:     29 | tick:    100 | IP:  16 | instruction: 0x10801000 | opcode:   LD | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:     30 | tick:    103 | IP:  17 | instruction: 0x09808000 | opcode:  OUT | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
INFO | counter:     31 | tick:    106 | IP:  18 | instruction: 0x04800000 | opcode:  INC | PS: {'N': False, 'Z': False, 'W': False, 'I': False, 'IA': True, 'E': False}
